minsup_frac,minsup_abs,#closed_itemsets,runtime_sec,peak_memory_MB
0.2,2993,0,0.006177308000133053,2.177825927734375
0.1,1497,3,0.0067558149999058514,2.428173065185547
0.05,749,11,0.007057626000005257,2.775524139404297
0.02,300,38,0.014497063999897364,3.3855056762695312
0.01,150,69,0.02592509800024345,3.647602081298828
